source_text;ipa
a;a
a'aa;a ʔ aː
aadaade;aː d aː d e
Aadama;aː d a m a
aadi;aː d i
Aadi Keyri;aː d i   k e j r i
Aadi Kiinndi;aː d i   k iː n n d i
aadondiraaɗo politikki;aː d o n d i r aː ɗ o   p o l i t i k k i
aadondirde;aː d o n d i r d e
aadondirngol;aː d o n d i r ŋ ɡ o l
aagaade;aː ɡ aː d e
aahiijo;aː h iː ɟ o
aahiila;aː h iː l a
aameede;aː m eː d e
aamiina;aː m iː n a
aamude;aː m u d e
aamugol;aː m u ɡ o l
aan;aː n
aanyeere;aː n j eː r e
aarude;aː r u d e
aawdi-liƴƴi;aː w d i - l i ʔʲ ʔʲ i
aawdiiri;aː w d iː r i
aawirde;aː w i r d e
aawirde fuɗngohoy;aː w i r d e   f u ɗ ŋ ɡ o h o j
aawoowo;aː w oː w o
a;a
a'aa;a ʔ aː
aadaade;aː d aː d e
Aadama;aː d a m a
aadi;aː d i
Aadi Keyri;aː d i   k e j r i
Aadi Kiinndi;aː d i   k iː n n d i
aadondiraaɗo politikki;aː d o n d i r aː ɗ o   p o l i t i k k i
aadondirde;aː d o n d i r d e
aadondirngol;aː d o n d i r ŋ ɡ o l
aagaade;aː ɡ aː d e
aahiijo;aː h iː ɟ o
aahiila;aː h iː l a
aameede;aː m eː d e
aamiina;aː m iː n a
aamude;aː m u d e
aamugol;aː m u ɡ o l
aan;aː n
aanyeere;aː n j eː r e
aarude;aː r u d e
aawdi-liƴƴi;aː w d i - l i ʔʲ ʔʲ i
aawdiiri;aː w d iː r i
aawirde;aː w i r d e
aawirde fuɗngohoy;aː w i r d e   f u ɗ ŋ ɡ o h o j
aawoowo;aː w oː w o
aawre;aː w r e
aawre saaketeende;aː w r e   s aː k e t eː n d e
aawude;aː w u d e
aawude leɗɗe;aː w u d e   l e ɗ ɗ e
aayaare;aː j aː r e
abada;a b a d a
abajada;a b a ɟ a d a
abajadda;a b a ɟ a d d a
abba;a b b a
aboka;a b o k a
Abraama;a b r aː m a
accannde;a c c a n n d e
accintinde;a c c i n t i n d e
accirgol;a c c i r ɡ o l
accitinde;a c c i t i n d e
accitinnde;a c c i t i n n d e
accude;a c c u d e
adadu;a d a d u
adadu ɓe sidaa ley nokku;a d a d u   ɓ e   s i d aː   l e j   n o k k u
adakaal;a d a k aː l
adala;a d a l a
adanirde;a d a n i r d e
adereesi;a d e r eː s i
adirgal;a d i r ɡ a l
Adnin;a d n i n
adoowo fottoo;a d oː w o   f o t t oː
adude;a d u d e
adude aadi;a d u d e   aː d i
adude fottoo;a d u d e   f o t t oː
adude haala;a d u d e   h aː l a
adugol aadi;a d u ɡ o l   aː d i
adunaaji;a d u n aː ɟ i
adunaaru;a d u n aː r u
aɗa;a ɗ a
afaade;a f aː d e
afagol;a f a ɡ o l
Afirikki;a f i r i k k i
Afo;a f o
agijame;a ɡ i ɟ a m e
akalal;a k a l a l
akorbaasi;a k o r b aː s i
al'aada;a l ʔ aː d a
alaama;a l aː m a
alaama annditirɗo nyaw;a l aː m a   a n n d i t i r ɗ o   n j a w
alaama dartorɗe;a l aː m a   d a r t o r ɗ e
alaama nyaw;a l aː m a   n j a w
Alal;a l a l
alam baanaa;a l a m   b aː n aː
Alarba;a l a r b a
alarbaare;a l a r b aː r e
albaccel;a l b a c c e l
albaccere;a l b a c c e r e
albasal;a l b a s a l
albel;a l b e l
alburuuti;a l b u r uː t i
algaali;a l ɡ aː l i
algaburuuji;a l ɡ a b u r uː ɟ i
algadara;a l ɡ a d a r a
Algura'aana;a l ɡ u r a ʔ aː n a
alhaali;a l h aː l i
alhaali jamahoonyoldu;a l h aː l i   ɟ a m a h oː n j o l d u
alhaali rato;a l h aː l i   r a t o
alhan;a l h a n
Alhuudiyanke;a l h uː d i j a n k e
aljenna;a l ɟ e n n a
Aljuma;a l ɟ u m a
aljumaare;a l ɟ u m aː r e
alkadara;a l k a d a r a
alkama;a l k a m a
Alkamiisa;a l k a m iː s a
alkulal;a l k u l a l
Alkur'aana;a l k u r ʔ aː n a
Alla;a l l a
allaaru;a l l aː r u
allewal;a l l e w a l
allude;a l l u d e
alluki;a l l u k i
allumbaana;a l l u m b aː n a
alluwal1;a l l u w a l 1
alluwal2;a l l u w a l 2
alluwal diidi;a l l u w a l   d iː d i
alluwal dow leggal;a l l u w a l   d o w   l e ɡ ɡ a l
alluwal manngal;a l l u w a l   m a n ŋ ɡ a l
alluwal-balaaje;a l l u w a l - b a l aː ɟ e
alluwel;a l l u w e l
almaade;a l m aː d e
almaamaaku;a l m aː m aː k u
almaami;a l m aː m i
Almasiihu;a l m a s iː h u
almeytu;a l m e j t u
almude;a l m u d e
Alorba;a l o r b a
Alsilaami;a l s i l aː m i
Altine;a l t i n e
am;a m
amaana;a m aː n a
amaana hawju dewle;a m aː n a   h a w ɟ u   d e w l e
amaana hawju jawdi ndewlondirɓe;a m aː n a   h a w ɟ u   ɟ a w d i   n d e w l o n d i r ɓ e
Amaana Keso;a m aː n a   k e s o
Amaana Kiiɗɗo;a m aː n a   k iː ɗ ɗ o
Amerikki;a m e r i k k i
amidon;a m i d o n
amiiraaku;a m iː r aː k u
amiiru;a m iː r u
amin;a m i n
amina;a m i n a
Amirou;a m i r o u
ammaa;a m m aː
ammbasad;a m m b a s a d
ammbasadeere;a m m b a s a d eː r e
ammbasader;a m m b a s a d e r
ammbasadi;a m m b a s a d i
ampulli;a m p u l l i
amre;a m r e
an;a n
ana;a n a
anaana;a n aː n a
anakeehi;a n a k eː h i
anana;a n a n a
Andire;a n d i r e
andistiri;a n d i s t i r i
anen1;a n e n 1
anen2;a n e n 2
anketti gosoowo lugotooɗo;a n k e t t i   ɡ o s oː w o   l u ɡ o t oː ɗ o
annaa;a n n aː
annaaji;a n n aː ɟ i
annaaru;a n n aː r u
annabaajo;a n n a b aː ɟ o
annabaaku;a n n a b aː k u
annabi;a n n a b i
Annabiijo;a n n a b iː ɟ o
anndaaka;a n n d aː k a
anndal;a n n d a l
anndal banngal diidi;a n n d a l   b a n ŋ ɡ a l   d iː d i
anndal calɗi haala;a n n d a l   c a l ɗ i   h aː l a
anndal cuɓɓaangal;a n n d a l   c u ɓ ɓ aː ŋ ɡ a l
anndal gollal;a n n d a l   ɡ o l l a l
anndal golliraangol;a n n d a l   ɡ o l l i r aː ŋ ɡ o l
anndal jogola hoorem;a n n d a l   ɟ o ɡ o l a   h oː r e m
anndal kiinngal;a n n d a l   k iː n ŋ ɡ a l
anndal kujje;a n n d a l   k u ɟ ɟ e
anndal laral leydi;a n n d a l   l a r a l   l e j d i
anndal limoore;a n n d a l   l i m oː r e
anndal nguurdam e leydi;a n n d a l   ŋ ɡ uː r d a m   e   l e j d i
anndal no siiji ngorri;a n n d a l   n o   s iː ɟ i   ŋ ɡ o r r i
anndal tagu;a n n d a l   t a ɡ u
anndal tayaka;a n n d a l   t a j a k a
anndal ƴuuwdi maandaa;a n n d a l   ʔʲ uː w d i   m aː n d aː
anndal-fuɗngo;a n n d a l - f u ɗ ŋ ɡ o
